Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3579|3017334|240|2023-05-04|A57A2049-75F8-4646-A7DC-3F31036C62F6|FCA|USD|10869.00|10869.00|MEX| |222139469|BMW OF NORTH AMERICA, LLC.|PO BOX||5808|29304|SPARTANBURG|2023-05-10 11:22:08|
1634|3015011|240|2023-04-25|352cadf8-4843-4611-b02e-0d42aaf4db3e|FCA|USD|23255.81|23255.81|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-08 16:18:10|
1660|3003901|240|2023-05-26|COVE235TQ70Z7|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-29 18:56:01|
3878|3007411|240|2023-05-15|COVE235SXR457|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-17 19:50:11|
3579|3017334|240|2023-05-04|COVE235SFMML8|FCA|USD|10869.00|10869.00|MEX| |222139469|BMW OF NORTH AMERICA, LLC.|PO BOX||5808|29304|SPARTANBURG|2023-05-10 11:22:08|
3699|3023678|430|2023-04-15|e61a3119-8ca2-4c88-a11b-00887b076d80|FCA|USD|8887.20|8887.20|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-11 13:02:01|
3694|3037491|750|2023-04-27|44606bb7-2d17-4e4d-a817-596826856efa|DAP|USD|1936.80|1936.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037490|750|2023-04-27|b9c140b5-04bf-4c38-ade4-7ff68a466874|FCA|USD|5366.72|5366.72|CHE| |CHE-367.148.844|DANA MANUFACTURING SWITZERLAND GMBH|RIEDSTRASSE|S/N|13|6330|CHAM|2023-05-11 15:04:00|
1660|3003875|240|2023-05-20|COVE235TCJYV7|DDP|USD|1344.20|1344.20|USA| |31-0995787|BENTELER AUTOMOTIVE CORPORATION|HOWELL RD.||1255|29334|DUNCAN|2023-05-24 15:40:01|
1766|3001610|640|2023-05-12|COVE235T3VY42|DAP| |0.00|0.00| | |B71087118|HIRUDEME, S.L.||||||2023-05-22 10:04:01|
3878|3007374|240|2023-04-29|COVE235RWXKN1|DDP| |0.00|0.00| | |31-0995787|BENTELER AUTOMOTIVE CORPORATION||||||2023-05-02 17:04:16|
3694|3037491|750|2023-04-21|b89b064f-8c94-49a4-9ff7-868a3e041190|DAP|USD|14548.94|14548.94|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
1634|3017196|240|2023-05-16|04d5e641-ccd1-4404-965a-b9a78ff59947|FCA|USD|21168.89|21168.89|USA| |261346857|DANA LIGHT AXLE PRODUCTS LLC|INDUSTRIAL ROAD SUITE|400|31572|48150|LIVONIA|2023-05-29 11:13:03|
3878|3006927|240|2023-05-02|379b1a29-ace2-41cc-b923-ba6895791491|EXW|USD|63886.02|63886.02|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-12 12:17:19|
3426|3002091|480||COVE235SM8878|EXW| |0.00|0.00| | |S/N|SMW AUTOBLOK IBERICA S.L||||||2023-05-12 14:10:09|
1660|3004826|240|2023-05-25|bfc90f7f-d5ac-4fd2-b851-9cdce4b0267d|EXW|USD|63886.02|63886.02|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-30 11:37:14|
3694|3037491|750|2023-04-12|4cfae78e-5224-4778-97b2-efe44211d1b4|DAP|USD|2897.13|2897.13|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037490|750|2023-04-20|98e6da76-1fee-4084-8a73-b98ddb1981f4|FCA|USD|5366.72|5366.72|CHE| |CHE-367.148.844|DANA MANUFACTURING SWITZERLAND GMBH|RIEDSTRASSE|S/N|13|6330|CHAM|2023-05-11 15:04:00|
1692|3000957|810|2023-04-27|COVE235TN8XI6|FCA|EUR|26674.78|24169.60|ESP| |ESF20025292|FAGOR EDERLAN, S. COOP.|TORREBASO PASEALEKUA|S/N|7|20540|ESKORIATZA|2023-05-31 12:51:01|
3878|3007133|240|2023-05-12|f3ef8371-8e37-4dbd-85fd-6a7b80dcaa82|EXW|USD|59303.86|59303.86|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
1766|3001534|640|2023-05-09|COVE235SMQQZ8|EXW| |0.00|0.00| | |A48162218|ELORBI, S.A.||||||2023-05-12 14:24:08|
3694|3037491|750|2023-04-25|599f9f37-1661-4726-ab6e-7a878b084690|DAP|USD|3873.60|3873.60|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3579|3017224|240|2023-05-02|COVE235SD8268|FCA|USD|10869.00|10869.00|MEX| |222139469|BMW OF NORTH AMERICA, LLC.|PO BOX||5808|29304|SPARTANBURG|2023-05-10 10:00:18|
